video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7305500598084881706,2023-11-25 15:33:44,15,US,"Cat Tunnel Bed, Cat Brush, cattok, pet products, Cats Of TikTok, tik tok shop, TikTok Shop Items, powder donut face pets, cat accessories, toothbrush cat",16200,119,69,321100,Diz and Dub bith love their cat donut from the tiktok shop! Get it before sale runs out! 😻 #fyp #foryou #petbrush #cattunnel #catcave #TikTokShop  #catmom #catdad #catperson #smurfcat #PetsOfTikTok #catbed #catsoftiktok #petlover #catlover #happycat #save #foryoupage #catdonut #tiktokshopblackfriday #tiktokshopcybermonday,TRUE,,misfitpets,Misfitpets,,,,,,FALSE
7303242532790619422,2023-11-19 13:31:12,12,US,"cider sweater dress, Sweater Dress, knitted sweater dress, knitted dress, cider dress, 2 piece knitted dress, dresses, Viral Dress TikTok, Dress Outfit, Fashion Dresses",115900,1650,400,5800000,this dress fits like a glove! so flattering & comfy! love that it is a 2 piece as well 🤍 @Cider #sweaterdress #knitteddress #viraldress #cider #shopcider #TikTokShopBlackFriday #tiktokshopcybermonday,TRUE,,hayyy.leyyy,Hay,,,,,,FALSE
7285271361201687839,2023-10-02 4:14:27,171,US,"homeika pet vacuum, dog grooming vacuum, tik tok shop, homeika vacuum, homeika, dog grooming, Pet Vacuum, Belgian Malinois, vacuums, Vacuum Cleaner Pets",375700,54000,1770,10900000,"Paw Patrol approves this message. 🐶🚔 RUN DONT WALK! @Homeika_Official, I love you. #obsessed #homeikaofficial #homeikavacuum #homeika #tiktokmademebuyit #petgrooming #k9softiktok #k9officer #k9handler #tiktokshop #shoporflop #pawpatrol #holidaysteals",TRUE,,amurphyrn,Allyssa ✨,,,,,,FALSE
7301040085624016170,2023-11-13 15:04:44,71,US,"Cat Water Fountain, stainless steel water fountain, Cat Fountain, stainless steel fountain, uah pet fountain, Cattok, Fountain, Cat Of Tiktok, Stainless Steel, pet products",187000,8453,1416,3600000,Stainless steel water fountains are my favorite. Use code 'WHITEBEARD' for 20% off!! #cats #catsoftiktok #pets #petsoftiktok #tabbycats #tortoiseshellcats #catlover #catslover #cutecats #UAHPET #PetFountain,TRUE,,whitebeardcats,Tammy & Sesame,,,,,,FALSE
7310401556791217450,2023-12-08 20:31:51,64,US,"lenovo gm2pro earbuds, lenovo earbuds, TikTok shop, lenovo, Headphones, gm2 pro, airpods, bluetooth earbuds, bluetooth earphones, Lenovo Headphones",84400,10600,1429,19200000,Most insane deal I’ve ever seen #lenovo #gm2pro #lenovogm2pro #earbuds #bluetooth #music #bluetoothearphone #coolgadget #tiktokshopholidaysale #thinkplus,TRUE,,grantsdealz,GrantsDealz,,,,,,FALSE
7305133360932736299,2023-11-24 15:48:36,83,US,"Gift Idea, gift, black friday sale, Dolphins, Present Ideas, birthday gift, Milk Frother Machine, black friday deals 2023, Milk Soft Candy, Carbonated Milk",686500,34300,7371,14500000,Get em while they last! #blackfridaysale #blackfriday2023 #giftideas #gift,TRUE,,beersycancover,Beersy,,,,,,FALSE
7310348190866361643,2023-12-08 17:04:55,153,US,"digital photo frame, digital picture frame deal 2023, bsimb digital picture frame, picture frame digital, tiktokshop, christmas gift ideas, frameo digital frame, digital frame, tiktok shop online store, bsimbframes",59900,6991,817,8500000,"Not just for grandparents! As a millenial I dont print photos, so this digital frame comes in clutch. @BSIMBFRAMES #christmasgift #giftidea #tiktokshop #tiktokshopgifts #grandparentgifts #digitalphotoframe #tiktokshopholidaydeals",TRUE,,mikesdealfinder,Mikes Deal Finder,,,,,,FALSE
7308910422436990239,2023-12-04 20:05:27,76,US,"TikTok Shop, calendar 2024, mental health calendar, shop tiktok store, TikTok Shop Online Store, calendar, taylor swift 2024 calendar, Tiktok Shop Online, advent calendars, TikTok Calendar",1200000,227900,9022,44000000,A calendar for tired ass women 🤣 #tiredasswomen #2024calendar #tiktokshop #tiktokshopholiday #tiktokshopfinds #tiktokshopmusthavesforgirls,TRUE,,painfreebeauty,Deb,,,,,,FALSE
7308838652145175839,2023-12-04 15:27:12,48,US,"foot massage machine, Foot Massager, feet massaging machine, hand massaging machine, massage chair, tiktok made me buy it, shiatsu massager, Massager Device, Feet Massaging, Machine",461400,20400,2480,21200000,Best investment #feet #footmassage #massager #relief #pain,TRUE,,mr.hagasaki,Evil Taco 😈,,,,,,FALSE
7298876801017859358,2023-11-07 19:09:53,106,US,"kosas blush, kosas, kosas spray, full face makeup, Full Face, Makeup, Full Face Makeup Routine, Full Face Makeup Brand, Makeup Look, lip oil",20900,87,201,627800,All we need is liquid blushes but @Kosas is 🔥!! #fullfacemakeup #kosaslipoil #kosasmakeup #makeupchallenge #fullfacechallenge #kosasreview #makeuproutine,TRUE,,krissleos,Kriss&Esme,,,,,,FALSE
7275806851248229664,2023-09-06 16:06:37,11,US,"Arianagrande, Sweetener Foundation, rem beauty foundation, rem beauty, rem foundation, foundation, make up, Foundation Cosmetics, Foundation Recommendation, Foundation Recommend",172000,4236,1431,3800000,"a skincare-infused foundation with actual weightless coverage? dreams do come true 🌙☁️♡ #sweetener foundation is packed with niacinamide, hyaluronic acid spheres, and raspberry leaf extract that work together to deliver instant and longterm skincare benefits for a dreamy soft-matte makeup base",TRUE,,r.e.m.beauty,r.e.m. beauty,,,,,,TRUE
7287038708895812906,2023-10-06 22:32:08,13,US,"Lip Plumper, lip pumps gloss, lip plumbers lipgloss tiktok, handiyah lip pumper, lip gloss, lip plumping booster gloss, plumbing lip gloss, Best Lip Plumper, lip plumbers lip gloss, lip plumper video",1100000,21100,2823,16600000,Its back in stock😋😍 #repost #lipplumpergloss,TRUE,,ebonygorl,Anon,,,,,,FALSE
7291871618232569106,2023-10-20 22:00:00,15,US,"sheglam, Sheglam Harry Potter, sheglam makeup, Unboxing Makeup, unboxing, Makeup, SHEGLAM Cosmetics, Sheglam Collection, SHEGLAM Products, makeup products",502800,25200,3136,11200000,Unboxing our NEW Care Bears x SHEGLAM Collection (part 1) 🐻#SHEGLAMcarebears #carebearsmakeup #unboxing  #unboxingvedio #unboxingcosmetics  #makeupunboxing #asmr #carebears❤️🧸 #sheglam,TRUE,,sheglam,SHEGLAM,,,,,,TRUE
7289484690874977566,2023-10-13 12:43:46,32,US,"chamoy gusher, Chamoy Candy, Chamoy Pickle Kit, freeze dried skittle, kimdysweets, tiktok shop, Freeze Dried Candy, chamoy, mexican candy, candy tiktok shop",66000,1099,457,3200000,Replying to @Gio BACK IN STOCK!! #spicycandy #gushers,TRUE,,kimdysweets,KimdySweets,,,,,,FALSE
7277210396237286689,2023-09-10 10:53:07,22,GB,"tudkun lip plumber, lip plumper, tudkun lipgloss review, Lip Gloss, tudkun lipglosses, lip pumps gloss, Best Lip Plumper, essence lip plumper, big mouth gloss, plumping lip gloss",2300000,115500,6646,17800000,Your sign to try them !💖 #lipplumper,TRUE,,tudkun,TUDKUN,,,,,,FALSE
7291776534720040238,2023-10-19 16:57:17,105,US,"disney  100, BodySuit, Disney, tik tok shop, long sleeve bodysuit, viral bodysuit, shop tiktok shop, Bodysuit Viral TikTok, Bodysuit TikTok, T Shirt Bodysuit",607700,2413,1507,20300000,BUY THIS NOW 😻#viralbodysuit #tiktokshop,TRUE,,kali_morris_45,Kahlysta,,,,,,FALSE
7194556439497641262,2023-01-30 16:13:38,13,US,"mocha coffee, #coffee, iced coffee, Coffee Tiktok, Making Coffee, Moka Pot Coffee, Coffee Lover, people making coffee, Coffee Recipes, Donut Mocha Syrup",1783,127,17,1700000,Stop by Honey Dew to taste what the (Mocha) Madness is all about! #honeydewdonuts #mochaicedcoffee #mochacoffee #icedcoffee #coffee #coffeeshop #newenglandcoffee #massachusetts #icedcoffeetiktok #icedcoffeelover #coffeerecipe #coffeerun,TRUE,,honeydewdonutsofficial,Honey Dew Donuts,,,,,,FALSE
7284679657268497706,2023-09-30 13:57:49,122,US,"bretmanrock, Eyeliner, Breakup Proof Eyes, wetnwildbeauty eyeliner, wetnwild eyeliner, Eyeliner Recommendation, Eyeliner Looks, Eyeliner Eyeshadow, eyeliner in eye, Natural Eyeliner",188300,2131,654,2400000,"@wetnwildbeauty breakup proof eyeliner is a must for breakup szn! Tears, rain, sweat—none of it stands a chance #breakupproofeyes #crueltyfree #ad",TRUE,,bretmanrock,bretmanrock,,,,,,TRUE
7283923113476115754,2023-09-28 13:01:53,42,US,"Security Technology Gadgets, Financial Advisor, security cameras, internet money, If You Ain't Got My Money",3835,94,46,1800000,"Protecting your financial data just got easier. Get the @PayPal app at the link in my bio, security is their top priority, and having access to their PassKey Tech + other great features like Purchase Protection and 24/7 Fraud Monitoring has given me a ton of peace of mind. #PayitSafe #PayPalPartner #sponsored",TRUE,,humphreytalks,Humphrey Yang,,,,,,TRUE
7283252225273531694,2023-09-26 17:38:33,21,US,,27500,1505,1125,18600000,"#AD #LOrealParisPartner #LOrealParisCosmetics You all know I love a good matte foundation! Between the lightweight, buildable coverage and its gorgeous natural finish, what's not to love! I'm wearing shade 410 Ivory! Enjoy up to 24 hours of transferproof magic in a bottle! #codyjayartistry #infalliblefreshwear #infallibleperfectbase #foundationreview  #bestfoundations",TRUE,,codyjayartistry,Cody Jay,,,,,,FALSE
7284302431138139434,2023-09-29 13:34:03,139,US,,6158,91,43,441500,"Replying to @babygirl0427971 this thing has me 🔥&🫨 .. link above my caption for tiktok shop, or check amazon for some of the ones I had in the video #periodpain #painreliefproducts #backpain #backpainrelief #endometriosis #pcos #portableheatingpad #vibrationalhealing #foryou #fyp #trending #viral",TRUE,,amills97,Autumn🍉,,,,,,FALSE
7275407561875049729,2023-09-05 14:17:09,37,,"disney 100, got a white boy on my roster, Disney, disney 100 card game, disney 100 game, the disney 100 game, disneyland, Disney TikTok, disney magic, roster changes",75500,884,809,34700000,Win 20x Your Money Now,TRUE,,Underdog Fantasy,Underdog Fantasy,,,,,,FALSE
7275486295315500319,2023-09-05 19:22:47,32,US,,6738,59,39,1500000,#NeutrogenaPartner build your skincare routine by purchasing these on Amazon @Neutrogena,TRUE,,rylie_shaw,Rylie Shaw ✨,,,,,,FALSE
7218579553847889195,2023-04-05 10:59:38,29,US,"jake from state farm og, original jake from state farm, noir films, jake from state farm edit, noir aesthetic, outfit, Movie Outfit Ideas, Outfit Ideas, What I Would Wear, Inspired Outfits",249100,3288,2330,10800000,Tickets to all of these are already sold out #Movie #Film #FilmTok #GRWM #OutfitIdeas,TRUE,,jakefromstatefarm,Jake from State Farm,,,,,,TRUE
7264807652872441130,2023-08-08 0:44:08,138,US,,17500,614,278,537300,This bodysuit is literally EVERYTHING!!!!!! Fully stocked as of right now !!! #newproductalert #tiktokshop #tiktokshopping #tiktokshopfinds #backtoschool #bodysuit #bodysuits #alexanderjane #alexanderjaneboutique #nobra #nobraneeded #viralbodysuit @Alexander Jane @TikTok Shop 🇺🇸,TRUE,,lushoctober,Lush October,,,,,,FALSE
7197150244356787502,2023-02-06 15:58:52,25,US,"jovani dress, Fully Beaded Dress, gown, Dresses, gown dress, Pageant Dresses, Gown Outfit, Jovani Designer Dresses, Promotion Dresses, Dress For Wedding",9206,293,35,199900,#Repost @jovanifashions with @appreposteasy ⁣ ... ⁣ What color would you wear? Our favorite #JOVANI just got a little sweeter 🤩🤩 #Style #07031 now available to order in 4 colors 💙❤️💜🤍 #prom #pageant #gown #fullybeaded #dress #promlook,TRUE,,jovanifashion,JOVANI,,,,,,FALSE
7274347664320318763,2023-09-02 17:44:22,183,US,"travis kelce taylor swift, tik tok shop, travis kelce, thrive mascara, fan fest mascara, Mascara, Burning Man, best mascara, essence extra volume mascara, Benefit Fan Fest Mascara",434300,9322,5485,15200000,"Super impressed with this fanning mascara, back in stock - i linked it in the bottom left hand corner above my handle, at the orange icon 🧡 👁️ This mascara adds so much length and volume! #fanfest #fanfestmascara #benefitpartner @Benefit Cosmetics #tiktokshop #mascara I heard this was the best selling mascara on TikTok and now i know why! #fyp",TRUE,,haleyparkerstyle,haleyparkerstyle,,,,,,FALSE
7330634204663008558,2024-02-01 9:04:58,24,US,"zach king, Pepsi, pepsi cherry, pepsi commercial, peeps pepsi soda, pepsi peeps, pepsi pink drink, Better With Pepsi, Pepsi Truck, I Really Do Like Pepsi",408400,1981,1808,28100000,Don’t forget the cherry 🍒 on top! 🍨 @Pepsi #PepsiPartner #ad,TRUE,,zachking,Zach King,,,,,,TRUE
7314526662929009921,2023-12-19 23:19:16,36,FAKE-AD,"free shipping, free shipping items, Online Boutiques With Fast Shipping",80,0,1,324400,20% off on your first order with free & fast shipping. Use promo code NEW20.,TRUE,,iHerb,iHerb,,,,,,FALSE
7331894559816879391,2024-02-04 18:36:11,137,US,"Cirkul Water Bottle, cirkul, cirkul honest reviews, cirkul flavors, Cirkul Water Bottle Flavors, water bottle, drinkcirkul, Flavored Water Bottles, water, Flavored Water",16000,86,0,2200000,Thank you @Cirkul for making these so good that i reach my water goals!✨ #cirkulinfluencer #drinkcirkul #cirkul #cirkulwaterbottle,TRUE,,faithcagnina,FAITH CAGNINA🪩,,,,,,FALSE
7332200424327351582,2024-02-05 14:23:14,53,US,"sam hurley, sam hurley old tiktoks, sam hurley 2019, hurley brothers, sam hurley and his gf, sam hurley and riley saurage, sam hurley and josh richards, sam hurley girlfriend, old sam hurley, Hurley",84100,522,336,25500000,Ready to make your moves count at tax time with TurboTax? Get your biggest possible refund and file today! Link in bio #MakeYourMovesCount #TurboTaxPartner,TRUE,,samhurley,SAMHURLEY🌊,,,,,,TRUE
7335566436393405698,2024-02-14 16:04:19,15,FAKE-AD,,50,2,0,84500,"DREAM INTERNSHIP ALERT! If you're a student dreaming about a job in social media marketing, apply!",TRUE,,efultimatebreak,efultimatebreak,,,,,,FALSE
7332876285930196226,2024-02-07 10:05:09,29,FAKE-AD,,3342,36,20,2200000,"Get your pets food, toys, and necessities straight to your door with Chewy.",TRUE,,Chewy,Chewy,,,,,,FALSE
7335490150174067970,2024-02-14 11:08:17,11,FAKE-AD,"Money Way, fast money game, How To Make Money On TikTok, money for fun, How To Travel And Make Money, money pieces",2851,56,0,4400000,Make money fast,TRUE,,Dasher,Dasher,,,,,,FALSE
7333694041759976706,2024-02-09 14:58:27,15,FAKE-AD,,2938,135,46,11100000,"Find your spring inspiration with 20% off select clothing, bedding & bath, furniture & more.",TRUE,,Target,Target,,,,,,FALSE
7334864897236372738,2024-02-12 18:42:00,15,FAKE-AD,"denim, Denim Outfits, denim on denim outfit, Denim Pants, Denim Trousers, Denim Jeans Outfit, Denim Skirts, denim jacket, Denim Romper, denim top outfit",1744,23,20,4600000,"New arrivals in on-trend denim on denim, neutral tones, relaxed fits & more. 
",TRUE,,American Eagle,American Eagle,,,,,,FALSE
7331057468157545730,2024-02-02 12:27:14,10,FAKE-AD,"Prada Paradoxe, Prada Paradoxe Perfume, Fragrance, Prada Perfume, Prada, Prada Cologne, Perfume, Musk Perfume, PerfumeTikTok, Prada Paradoxe Nyc",35,0,1,211800,"Discover Paradoxe, the fragrance by Prada featuring notes of Neroli Bud, White Amber, and White Musk",TRUE,,Prada Beauty,Prada Beauty,,,,,,FALSE
7335490150174067970,2024-02-14 11:08:17,11,FAKE-AD,"Money Way, fast money game, How To Make Money On TikTok, How To Travel And Make Money, money pieces",3054,56,0,4900000,Make money fast,TRUE,,Dasher,Dasher,,,,,,FALSE
7307327613108899073,2023-11-30 13:43:16,6,FAKE-AD,Hall Decor,4828,193,79,26400000,Take relief anywhere with new HALLS Minis and feel the HALLS cooling breath.,TRUE,,HALLS,HALLS,,,,,,FALSE
7333325744845688066,2024-02-08 15:09:17,8,FAKE-AD,"starbucks, Chocolate Covered Strawberry Starbucks, chocolate covered strawberry, starbucks valentines drink, strawberry cream frappuccino, chocolate strawberries, chocolate covered strawberry creme frappucino, Strawberry Drinks, Chocolate Covered Fruit, Strawberry",84200,4916,0,69300000,Dip into delicious. Chocolate-Covered Strawberry Crème Frappuccino® Blended Beverage.,TRUE,,Starbucks,Starbucks,,,,,,FALSE
7335241007757348098,2024-02-13 19:01:30,13,FAKE-AD,"happy valentine's day, Bob Marley Movie, Bob Marley, one love bob marley, bob marley grandson, love, one love movie 2024, Bob Marley Best Hits, Bob Marley Son, valentine's day",32100,586,447,14200000,Shake your phone to feel the LOVE! Get tix to see Bob Marley: One Love in theatres!,TRUE,,onelovemovie,onelovemovie,,,,,,FALSE
7328490261221231873,2024-01-26 14:25:09,25,FAKE-AD,"tj maxx finds, tj maxx, tj maxx haul, Tjmaxx Shopping, Shopping At Tj Maxx, T.J. Maxx Bags, T.J.Maxx Purses, Tj Maxx Jewelry, Tjmaxx Earrings, Trip Essentials",6919,72,39,25300000,"The best way to prep for any trip is a haul of timeless, high-quality goodies. TJ Maxx Partner​",TRUE,,tjmaxx,tjmaxx,,,,,,FALSE
7312828146833689858,2023-12-15 9:28:08,6,FAKE-AD,"duck plum lip gloss, nyxcosmetics, lip gloss, Lip Plumping Gloss, nyx duck plum, Plump Lips, Plum Lip Gloss, Plumping Lip Gloss Recommendation, lip plumping booster gloss, lip plumper video",11300,124,143,19800000,Duck Plump is your one stop shop for instant and over time plumping in one high pigment swipe!,TRUE,,nyxcosmetics,nyxcosmetics,,,,,,FALSE
7307671588575399169,2023-12-01 11:58:03,11,FAKE-AD,"steak, CAVA Restaurant, cava, Steak Tiktok, Grilled Steak, steak cooking, Steak On The Grill, Cava Pita Chip, Big Steak, Steak Quesadilla",224,5,4,236300,"Juicy, tender steak is now on the menu at CAVA - try it on your custom pita today!",TRUE,,CAVA,CAVA,,,,,,FALSE
7328900561170894082,2024-01-27 16:57:19,15,FAKE-AD,"UPS, business, UPS Delivery, Business Owner, UPS Poster Printing, UPS Delivery Driver, Ups Warehouse, Ups Factory, Ups Pay Raise, UPS Preloader Job",774,12,2,5500000,From one small business to another. Sign up for a UPS account and get up to 74% off. Terms apply,TRUE,,UPS,UPS,,,,,,FALSE
7328497893508254977,2024-01-26 14:54:46,14,FAKE-AD,"outfit, Vacation Fits, Travel Outfits, Outfits For Traveling, Vacation Outfits Inspo, Vacation Outfit Ideas, Resort Vacation Outfits, Vacation Outfits 2023, summer outfits, Outfits For Beach Vacation",13500,108,58,31100000,"luggage to outfits – we have everything you need for that upcoming vacay, all for less.",TRUE,,marshalls,marshalls,,,,,,FALSE
7329378417030286594,2024-01-28 23:51:39,23,FAKE-AD,"Essentials T Shirt, essentials hoodies, Essentials Product, Essentials Dress, Spring Must Haves, spring shoes, Spring Outfits, Essential Shopping, Spring Haul, Tiktok Home Essentials",522,1,6,285900,Use code TIKTOK for a 20% discount on spring essentials! Super fast shipping + easy returns <3,TRUE,,princesspolly,princesspolly,,,,,,FALSE
7325577719301803266,2024-01-18 18:02:59,30,FAKE-AD,"Bilt Review Credit, rental arbitrage, Efficiency For Rent, Rent Cheap Apartment",6620,112,70,3300000,Earn points on rent with the Bilt Mastercard®. Terms apply.,TRUE,,Bilt Rewards,Bilt Rewards,,,,,,FALSE
7329372524947557634,2024-01-28 23:28:47,10,FAKE-AD,"princess polly, Princess Polly Dresses, Princess Polly Shoes, princess polly top, Princess Polly Loafers, polly dresses, Princess Polly Dresses Outfit, Clothes Shop, Princess Polly Skirt Outfits, Princess Polly Sequin Dress",434,2,1,373400,"Get ready for spring! Exclusive designs perfect for all day, everyday. Shop Princess Polly now!",TRUE,,princesspolly,princesspolly,,,,,,FALSE
7321519240786218283,2024-01-07 19:34:23,73,US,"4k vlogging camera, Camera, 4k digital camera, tripod for camera, best vlogging camera, microphone for camera, Vlog Camera, tiktok camera, Cameras For TikTok Videos, Digital Camera Vlog",72700,1460,441,1500000,I’m so excited to start using this to vlog!!🤩📲 Y’all need this vlogging camera🙌🏽 Exact camera is linked in my showcase🥰 #vloggingcamera #tiktokshopfind #tiktokshopdeals #vlog #vlogcamera #contentcreator2024,TRUE,,samanthadugc,Sam’s Fav Finds 💖 UGC,,,,,,FALSE
7321804258045660417,2024-01-08 14:00:03,30,FAKE-AD,"Cloud Slides, Running Shoes, eclipse, Best Shoes For Walking, Runner, Best Running Shoes, Running Shoes Recommendations, Best Shoes Recommendations, on cloud shoes, eclipse shadows",3738,83,35,2500000,The max-cushioned Cloudeclipse is runner approved. For miles on road and pavement.,TRUE,,onrunning,onrunning,,,,,,FALSE
7322519358398385409,2024-01-10 12:15:00,13,FAKE-AD,"always on my mind, good days sza, Curology Review, curology, Good Days, Curology Skincare, Curology Eye Cream, sza songs, Custom Formula Curology, Dermatologist Curology",16800,182,226,20300000,"New year, new glow. For a limited time, get your first Curology box for just $5!",TRUE,,Curology,Curology,,,,,,FALSE
7317528556815387906,2023-12-28 1:28:09,30,FAKE-AD,"Olive Young, Olive Young Products, Olive Young Welcome Box, Furniture Deals, Olive Young Haul, amazon deals",7389,23,33,4200000,Sign Up Today and Get Access to 0.99 Deals,TRUE,,oliveyoung_global,oliveyoung_global,,,,,,FALSE
7323334442137750786,2024-01-12 16:57:56,22,FAKE-AD,"wedding registry, baby registry, burberry, blueberry morning cereal, Burberry Review, Morning Activities, Wedding Registry Ideas, morning vlogs, Baby Registry List, Wedding Registry Must Haves",2961,441,16,3600000,Get one-on-one help at one of our Private Registry Mornings. @boxwoodsandburberry gave hers a 10/10,TRUE,,crateandbarrel,crateandbarrel,,,,,,FALSE
7309963190123646210,2023-12-07 16:10:38,14,FAKE-AD,"Byte Aligner Review, byte aligners, Smile Teeth Product, Digital Byte, Clear Aligners, Tech For Smiling, smile, Byte Experience, byte in computer, Byte Honest Review",25500,462,0,28400000,Get the smile of your dreams with Byte!,TRUE,,Byte®,Byte®,,,,,,FALSE
7302187145748368683,2023-11-16 17:15:48,7,US,"my brother walked behind me, Kaylee, BFFs Pod, The Bffs Podcast, barstoolsports, cute couple dances",1400000,9997,2147,5900000,Bro stopped mid dance 💀 @BFFs Pod (via:@kaylee),FALSE,,barstoolsports,Barstool Sports,,,,,,TRUE
